iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,-12.582,-17.019,-19.434,11.002,0.078,0.045,1.56,0.001,1.399,11.065,0.004,0.004,528,625,13,13,40,0.004
0.1,-12.759,-17.019,-19.591,11.001,0.093,0.045,1.56,0.101,1.4,11.057,0.3,0.268,521,625,13,10,5,0.302
0.2,-12.582,-16.881,-18.77,11.001,0.108,0.045,1.55,0.201,1.4,11.052,0.452,0.406,530,626,13,6,13,0.456
0.3,-12.145,-17.019,-19.457,11.001,0.123,0.045,1.55,0.301,1.398,11.052,0.545,0.489,531,626,13,2,6,0.553
0.4,-11.802,-16.666,-19.012,11.001,0.14,0.045,1.54,0.401,1.401,11.06,0.594,0.538,539,627,12,51,11,0.606
0.5,-10.969,-16.431,-19.191,11.001,0.157,0.045,1.53,0.501,1.397,11.044,0.621,0.565,547,631,12,44,3,0.637
0.6,-10.887,-16.057,-19.21,11.001,0.175,0.045,1.52,0.601,1.399,11.066,0.64,0.586,553,632,12,36,10,0.66
0.7,-9.932,-15.587,-18.642,11.002,0.193,0.045,1.51,0.7,1.395,11.032,0.65,0.599,563,636,12,33,24,0.674
0.8,-9.415,-15.165,-18.064,11.001,0.211,0.045,1.51,0.8,1.394,11.035,0.665,0.611,569,637,12,8,18,0.692
0.9,-8.213,-14.998,-18.152,11.001,0.228,0.045,1.5,0.9,1.394,11.052,0.673,0.623,585,640,12,3,34,0.705
1,-7.857,-15.254,-18.787,11.001,0.245,0.045,1.49,1.001,1.396,11.051,0.68,0.634,588,640,11,59,18,0.715
1.1,-7.025,-15.043,-18.527,11.001,0.262,0.045,1.48,1.1,1.395,11.064,0.683,0.64,599,644,11,55,58,0.722
1.2,-6.355,-14.953,-18.591,11.001,0.279,0.045,1.47,1.2,1.396,11.052,0.685,0.647,611,646,11,52,17,0.728
1.3,-5.905,-14.785,-18.335,11.001,0.296,0.045,1.47,1.301,1.393,11.037,0.69,0.652,619,639,11,47,36,0.738
1.4,-4.519,-13.843,-18.047,11.002,0.315,0.045,1.46,1.4,1.391,11.033,0.689,0.655,638,652,18,2,6,0.741
1.5,-3.92,-13.607,-17.237,11.001,0.333,0.045,1.45,1.501,1.391,11.028,0.687,0.658,652,654,17,58,44,0.743
1.6,-2.654,-13.254,-18.171,11.002,0.351,0.045,1.44,1.601,1.39,11.051,0.685,0.658,672,658,17,55,22,0.744
1.7,-1.883,-12.901,-16.669,11.002,0.37,0.045,1.44,1.701,1.392,11.051,0.686,0.66,687,660,17,51,33,0.749
1.8,-4.219,-15.434,-19.638,11.002,0.387,0.044,1.43,1.8,1.392,11.045,0.683,0.662,971,659,11,30,15,0.749
1.9,-3.134,-15.081,-19.43,11.001,0.406,0.044,1.42,1.901,1.391,11.052,0.678,0.661,993,662,11,27,5,0.749
2,-2.458,-14.492,-19.624,11.001,0.426,0.045,1.42,2.001,1.391,11.044,0.678,0.661,1023,662,11,24,8,0.752
2.1,-2.458,-13.726,-18.662,11.001,0.445,0.044,1.41,2.101,1.385,11.034,0.672,0.659,1023,670,11,19,5,0.75
2.2,-2.458,-13.669,-18.858,11.001,0.466,0.045,1.4,2.2,1.387,11.027,0.666,0.658,1023,669,11,14,20,0.747
2.3,-2.544,-17.115,-22.72,11.001,0.484,0.044,1.39,2.3,1.392,11.044,0.661,0.659,1023,669,16,1,6,0.746
2.4,-2.544,-16.507,-21.954,11.001,0.505,0.044,1.39,2.401,1.387,11.039,0.659,0.655,1023,674,15,52,31,0.747
2.5,-2.544,-16.291,-22.225,11.002,0.525,0.044,1.38,2.501,1.388,11.028,0.652,0.654,1023,677,15,40,1,0.744
2.6,-2.544,-15.331,-21.704,11.001,0.547,0.044,1.37,2.601,1.388,11.045,0.644,0.65,1023,683,15,35,50,0.739
2.7,-2.544,-14.742,-22.08,11.001,0.569,0.044,1.36,2.7,1.385,11.036,0.636,0.646,1023,688,15,32,1,0.734
2.8,-2.544,-17.156,-24.174,11.001,0.588,0.044,1.36,2.801,1.388,11.046,0.637,0.647,1023,679,16,43,34,0.738
2.9,-2.544,-16.333,-24.174,11.001,0.611,0.044,1.35,2.901,1.386,11.046,0.628,0.642,1023,685,16,46,37,0.732
3,-2.544,-15.627,-23.562,11.001,0.634,0.044,1.35,3.001,1.386,11.032,0.624,0.639,1023,691,16,49,39,0.732
3.1,-2.544,-14.803,-22.95,11.001,0.659,0.044,1.34,3.102,1.385,11.032,0.615,0.633,1023,698,16,52,41,0.725
3.2,-2.544,-13.98,-22.338,11.001,0.684,0.044,1.33,3.201,1.381,11.032,0.605,0.627,1023,707,16,55,44,0.718
3.3,-2.544,-12.921,-21.726,11.001,0.71,0.044,1.32,3.301,1.381,11.032,0.595,0.621,1023,715,16,58,46,0.711
3.4,-2.631,-15.636,-25.463,11.001,0.735,0.044,1.31,3.401,1.384,11.03,0.586,0.618,1023,720,14,28,30,0.704
3.5,-2.631,-13.304,-24.173,11.001,0.763,0.044,1.3,3.502,1.381,11.03,0.576,0.61,1023,733,14,23,51,0.696
