iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,40.732,31.529,29.571,11,0.082,0.049,1.56,0.002,1.328,11.029,0.008,0.007,1023,753,10,28,41,0.008
0.1,40.732,31.529,30.214,11.001,0.097,0.049,1.56,0.102,1.326,11.029,0.301,0.255,1023,754,10,31,44,0.303
0.2,40.732,31.647,29.571,11,0.112,0.049,1.55,0.201,1.328,11.029,0.449,0.384,1023,754,10,34,46,0.454
0.3,40.732,31.529,30.214,11.001,0.127,0.049,1.54,0.301,1.328,11.029,0.54,0.464,1023,755,10,37,48,0.548
0.4,40.732,31.765,30.214,11.002,0.143,0.049,1.53,0.402,1.328,11.044,0.592,0.512,1023,756,10,40,51,0.604
0.5,40.732,32.118,30.214,11.002,0.161,0.049,1.52,0.501,1.326,11.029,0.619,0.539,1023,759,10,43,53,0.635
0.6,40.732,32.353,30.214,11.001,0.179,0.049,1.51,0.601,1.326,11.029,0.634,0.555,1023,761,10,46,56,0.653
0.7,34.622,29.483,27.411,11.002,0.196,0.047,1.51,0.701,1.344,11.029,0.647,0.574,889,731,15,20,26,0.67
0.8,34.199,28.304,26.088,11.002,0.213,0.047,1.49,0.8,1.344,11.015,0.652,0.587,880,730,15,11,42,0.679
0.9,34.529,28.297,25.934,11.002,0.231,0.047,1.49,0.9,1.347,11.036,0.663,0.597,885,731,15,7,17,0.694
1,35.04,28.65,25.061,11.002,0.248,0.047,1.48,1.001,1.343,11.019,0.669,0.606,895,733,15,2,6,0.704
1.1,35.505,28.899,25.64,11.002,0.266,0.047,1.47,1.101,1.341,11.021,0.671,0.611,909,735,14,56,26,0.71
1.2,34.164,27.819,23.186,11.002,0.284,0.047,1.46,1.201,1.348,11.042,0.672,0.618,881,732,14,41,57,0.715
1.3,37.275,29.769,27.034,11.002,0.303,0.047,1.45,1.301,1.344,11.043,0.671,0.62,944,740,14,37,36,0.718
1.4,37.706,29.384,26.287,11.002,0.321,0.047,1.44,1.401,1.339,11.022,0.67,0.622,959,742,14,32,49,0.72
1.5,38.971,30.556,26.228,11.002,0.34,0.047,1.43,1.501,1.342,11.048,0.666,0.622,985,745,14,16,35,0.72
1.6,39.913,30.833,27.536,11.002,0.36,0.047,1.43,1.601,1.341,11.034,0.666,0.623,1008,749,14,12,24,0.724
1.7,40.475,31.032,26.268,11.002,0.379,0.047,1.42,1.701,1.34,11.032,0.661,0.622,1023,751,14,7,57,0.722
1.8,40.219,27.901,26.114,11.001,0.399,0.047,1.41,1.801,1.337,11.002,0.656,0.622,1023,766,13,39,26,0.721
1.9,39.865,27.5,24.439,11.002,0.419,0.047,1.4,1.901,1.34,10.996,0.651,0.623,1011,764,9,59,22,0.719
2,40.347,28.205,25.066,11.001,0.44,0.047,1.39,2.002,1.338,10.996,0.643,0.62,1023,769,10,2,25,0.715
2.1,40.347,28.794,25.066,11.002,0.461,0.047,1.38,2.101,1.336,11.01,0.635,0.615,1023,773,10,5,27,0.71
2.2,40.347,29.264,25.692,11.002,0.484,0.047,1.37,2.201,1.336,10.996,0.627,0.612,1023,778,10,8,30,0.706
2.3,40.347,29.735,26.319,11.002,0.506,0.047,1.37,2.301,1.335,10.996,0.624,0.608,1023,783,10,11,32,0.705
2.4,40.347,30.676,26.945,11.002,0.53,0.047,1.36,2.401,1.333,10.996,0.614,0.602,1023,790,10,14,34,0.698
2.5,40.347,31.382,26.945,11.001,0.554,0.047,1.35,2.501,1.335,10.996,0.605,0.599,1023,796,10,17,37,0.692
2.6,40.347,32.088,27.572,11.001,0.578,0.047,1.34,2.602,1.331,10.981,0.596,0.593,1023,802,10,20,39,0.686
2.7,40.219,30.739,25.136,11.002,0.6,0.047,1.33,2.701,1.336,10.994,0.59,0.593,1023,799,11,42,9,0.683
2.8,40.219,32.237,25.791,11.002,0.627,0.047,1.32,2.801,1.332,10.992,0.579,0.585,1023,808,11,47,23,0.675
2.9,40.347,31.567,23.491,11.002,0.65,0.047,1.32,2.902,1.336,10.994,0.577,0.584,1023,791,11,55,1,0.675
3,40.219,29.384,20.026,11.001,0.674,0.047,1.31,3.001,1.335,10.986,0.569,0.581,1023,807,12,1,3,0.671
3.1,40.092,27.548,19.133,11.002,0.7,0.046,1.3,3.102,1.334,10.973,0.561,0.577,1023,812,12,12,52,0.664
3.2,40.092,29.668,22.03,11.002,0.729,0.047,1.29,3.201,1.333,10.969,0.55,0.57,1023,823,12,20,35,0.656
3.3,40.092,30.801,21.305,11.002,0.757,0.046,1.28,3.301,1.331,10.97,0.541,0.564,1023,830,12,25,1,0.649
3.4,40.092,32.035,22.178,11.001,0.786,0.047,1.27,3.401,1.33,10.948,0.531,0.559,1023,841,12,30,32,0.641
3.5,40.092,32.43,21.445,11.002,0.815,0.047,1.26,3.502,1.329,10.966,0.522,0.553,1023,847,12,35,37,0.635
