iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,3.041,-1.099,-3.239,11.002,0.079,0.046,1.56,0.001,1.387,11.044,0.004,0.004,550,664,10,59,49,0.004
0.1,2.952,-1.219,-3.441,11.001,0.094,0.046,1.56,0.1,1.384,11.036,0.297,0.263,552,664,10,55,31,0.299
0.2,3.218,-1.099,-3.188,11.001,0.108,0.046,1.55,0.201,1.385,11.042,0.452,0.403,554,666,10,51,58,0.457
0.3,3.63,-0.802,-2.668,11.001,0.124,0.046,1.54,0.301,1.384,11.047,0.541,0.484,557,665,10,48,14,0.549
0.4,3.998,-0.746,-3.272,11.002,0.14,0.046,1.53,0.4,1.383,11.045,0.59,0.531,562,667,10,44,58,0.602
0.5,4.336,-0.513,-3.4,11.001,0.158,0.046,1.53,0.5,1.382,11.035,0.622,0.56,571,670,10,40,11,0.637
0.6,5.163,-0.156,-2.818,11.001,0.176,0.046,1.52,0.601,1.382,11.038,0.64,0.58,579,671,10,31,23,0.66
0.7,6.431,0.434,-2.143,11.001,0.194,0.046,1.51,0.7,1.382,11.036,0.648,0.592,592,675,10,28,10,0.672
0.8,7.118,0.55,-2.217,11.001,0.211,0.046,1.5,0.8,1.382,11.039,0.659,0.605,602,677,10,24,8,0.686
0.9,7.193,0.424,-1.933,11.001,0.229,0.046,1.49,0.9,1.379,11.029,0.667,0.616,607,679,10,18,36,0.699
1,7.931,0.538,-1.975,11.001,0.246,0.046,1.48,1.001,1.379,11.03,0.674,0.626,613,680,10,14,32,0.709
1.1,8.365,-0.258,-2.457,11.002,0.263,0.046,1.48,1.101,1.379,11.026,0.681,0.633,619,681,10,10,18,0.72
1.2,5.673,-2.497,-5.099,11.001,0.28,0.046,1.47,1.2,1.381,11.024,0.683,0.64,727,676,10,1,25,0.726
1.3,5.673,-0.554,-3.94,11.002,0.299,0.046,1.46,1.301,1.379,11.021,0.682,0.644,727,681,9,41,35,0.73
1.4,9.554,0.172,-3.468,11.001,0.317,0.046,1.45,1.401,1.378,11.016,0.681,0.647,637,687,17,41,48,0.732
1.5,10.295,0.275,-3.447,11,0.335,0.046,1.45,1.501,1.378,11.029,0.684,0.648,647,689,17,38,11,0.739
1.6,10.951,0.495,-3.559,11.002,0.354,0.046,1.44,1.601,1.378,11.021,0.681,0.65,660,692,17,34,49,0.739
1.7,11.655,0.188,-3.302,11.001,0.372,0.046,1.43,1.701,1.375,10.997,0.677,0.651,852,693,17,30,53,0.739
1.8,11.982,0.265,-3.694,11.002,0.391,0.046,1.42,1.801,1.374,11.017,0.673,0.65,858,694,17,27,23,0.739
1.9,12.622,0.148,-3.645,11.001,0.411,0.046,1.42,1.901,1.377,11.024,0.672,0.65,882,698,17,24,25,0.742
2,13.18,-1.034,-3.87,11.002,0.43,0.046,1.41,2.002,1.373,11.01,0.667,0.649,890,700,17,21,1,0.74
2.1,12.076,-1.997,-7.162,11.001,0.45,0.046,1.4,2.101,1.375,11.007,0.662,0.649,865,698,17,15,47,0.739
2.2,13.103,-1.409,-6.846,11,0.47,0.046,1.39,2.201,1.376,11.019,0.655,0.648,896,701,17,11,52,0.736
2.3,14.463,-1.056,-6.221,11.002,0.491,0.046,1.38,2.301,1.376,11.034,0.648,0.645,927,706,17,8,11,0.732
2.4,16.349,-0.35,-6.248,11.001,0.513,0.046,1.38,2.401,1.375,11.019,0.645,0.641,981,711,17,4,43,0.732
2.5,17.758,-0.143,-5.424,11.002,0.534,0.046,1.37,2.501,1.372,10.999,0.637,0.638,1023,717,17,0,14,0.727
2.6,17.758,0.394,-5.501,11.001,0.557,0.046,1.36,2.602,1.372,11.001,0.629,0.635,1023,722,16,56,2,0.723
2.7,11.801,-1.237,-7.332,11.002,0.579,0.045,1.35,2.701,1.372,11.013,0.621,0.631,1023,724,16,48,53,0.718
2.8,11.801,-1.899,-9.108,11.001,0.601,0.045,1.35,2.801,1.374,11.012,0.619,0.629,1023,723,16,43,41,0.718
2.9,11.801,-0.958,-8.382,11.001,0.625,0.046,1.34,2.901,1.375,10.994,0.609,0.626,1023,730,16,39,37,0.712
3,11.801,-0.504,-8.496,11.001,0.65,0.045,1.33,3.001,1.372,11.01,0.6,0.618,1023,739,16,35,51,0.705
3.1,11.899,2.464,-6.926,11.001,0.679,0.046,1.32,3.102,1.37,10.996,0.587,0.609,1023,756,16,2,37,0.695
3.2,11.801,2.202,-5.354,11.002,0.704,0.045,1.31,3.202,1.368,10.996,0.579,0.605,1023,761,15,57,31,0.688
3.3,11.703,-1.396,-8.934,11.001,0.728,0.045,1.31,3.302,1.368,10.968,0.576,0.604,1023,759,15,52,25,0.689
3.4,11.801,-0.829,-10.791,11.001,0.752,0.045,1.3,3.401,1.37,10.984,0.569,0.6,1023,760,15,43,15,0.684
3.5,11.703,0.313,-10.341,11.001,0.781,0.045,1.29,3.503,1.369,10.988,0.558,0.593,1023,770,15,37,55,0.676
