iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,7.384,3.502,1.34,11.002,0.079,0.046,1.56,0.001,1.381,11.043,0.004,0.004,567,675,14,53,34,0.004
0.1,7.555,3.521,1.553,11.001,0.094,0.046,1.56,0.101,1.379,11.059,0.3,0.264,567,675,14,48,30,0.302
0.2,7.469,3.403,1.565,11.001,0.109,0.046,1.55,0.201,1.381,11.044,0.452,0.401,566,674,14,43,41,0.456
0.3,7.809,3.619,1.764,11.002,0.124,0.046,1.54,0.301,1.378,11.037,0.54,0.482,574,676,14,40,28,0.549
0.4,8.145,3.756,1.785,11.001,0.14,0.046,1.53,0.401,1.38,11.051,0.591,0.531,577,676,14,37,12,0.603
0.5,9.206,4.188,1.691,11.002,0.158,0.046,1.53,0.5,1.379,11.04,0.624,0.56,589,681,14,31,51,0.639
0.6,10.378,4.736,2.073,11.001,0.176,0.046,1.52,0.601,1.378,11.048,0.641,0.579,604,684,14,27,1,0.661
0.7,10.982,4.992,2.613,11.002,0.194,0.046,1.51,0.7,1.378,11.052,0.648,0.589,615,686,14,23,4,0.672
0.8,11.573,5.129,3.208,11.002,0.212,0.046,1.5,0.801,1.374,11.016,0.659,0.603,623,689,14,18,49,0.686
0.9,12.364,5.482,2.418,11.001,0.229,0.046,1.49,0.9,1.375,11.022,0.667,0.614,632,691,14,14,23,0.698
1,13.064,5.6,2.472,11.001,0.246,0.046,1.48,1.001,1.374,11.02,0.672,0.623,642,692,14,10,39,0.708
1.1,13.475,5.933,3.06,11.002,0.264,0.046,1.48,1.101,1.373,11.021,0.68,0.629,645,693,14,5,46,0.719
1.2,14.542,6.383,2.882,11.002,0.281,0.046,1.47,1.2,1.371,11.028,0.681,0.634,661,696,14,2,53,0.724
1.3,15.06,6.443,2.644,11.002,0.299,0.046,1.46,1.301,1.371,11.013,0.681,0.639,671,699,13,59,48,0.728
1.4,15.882,6.499,2.449,11.001,0.317,0.046,1.45,1.401,1.37,11.02,0.68,0.642,683,702,13,56,37,0.731
1.5,16.559,6.451,3.08,11.002,0.336,0.046,1.44,1.501,1.369,11.021,0.678,0.643,695,704,13,53,16,0.733
1.6,16.773,5.362,2.49,11.002,0.354,0.046,1.44,1.601,1.37,11.02,0.679,0.645,756,705,13,49,55,0.738
1.7,14.123,3.016,-1.494,11.002,0.373,0.046,1.43,1.701,1.374,11.02,0.677,0.649,707,700,13,42,41,0.739
1.8,15.084,3.489,-0.917,11.001,0.392,0.046,1.42,1.801,1.374,11.035,0.672,0.648,727,703,13,38,40,0.738
1.9,16.439,4.081,-0.548,11.001,0.411,0.046,1.41,1.901,1.371,11.008,0.667,0.648,748,707,13,35,7,0.737
2,17.631,4.307,0.381,11.002,0.431,0.046,1.41,2.002,1.373,11.007,0.665,0.648,774,710,13,31,9,0.739
2.1,18.676,4.66,0.181,11.002,0.452,0.046,1.39,2.101,1.369,11.005,0.654,0.644,796,715,13,22,26,0.731
2.2,19.873,5.009,0.074,11.002,0.472,0.046,1.39,2.201,1.369,11.008,0.652,0.642,820,719,13,16,44,0.732
2.3,20.977,5.221,0.371,11.001,0.493,0.046,1.38,2.301,1.369,11.007,0.645,0.639,843,723,13,13,15,0.728
2.4,22.172,5.704,0.39,11.001,0.515,0.046,1.37,2.401,1.366,10.984,0.637,0.637,872,726,13,6,10,0.724
2.5,23.818,6.02,0.112,11,0.537,0.046,1.36,2.501,1.367,10.993,0.629,0.633,908,732,12,59,58,0.719
2.6,25.302,6.726,0.665,11.001,0.56,0.046,1.35,2.601,1.368,10.997,0.62,0.629,946,738,12,55,38,0.713
2.7,17.758,3.078,-3.752,11.001,0.581,0.046,1.35,2.701,1.369,11.005,0.619,0.628,1023,733,12,42,23,0.715
2.8,17.758,3.63,-3.334,11.002,0.604,0.046,1.34,2.801,1.368,11.012,0.61,0.623,1023,738,12,38,16,0.709
2.9,17.758,5.181,-2.334,11.001,0.63,0.046,1.33,2.902,1.364,10.999,0.6,0.616,1023,747,12,33,9,0.702
3,17.758,5.475,-1.977,11.001,0.655,0.046,1.32,3.001,1.366,10.994,0.591,0.612,1023,754,12,22,2,0.695
3.1,17.758,6.142,-1.364,11.002,0.681,0.046,1.32,3.101,1.366,10.996,0.585,0.606,1023,761,12,16,3,0.692
3.2,17.758,6.142,-1.248,11.001,0.708,0.046,1.31,3.201,1.359,10.953,0.576,0.6,1023,769,12,11,13,0.685
3.3,11.801,3.496,-2.704,11.002,0.733,0.046,1.3,3.301,1.359,10.968,0.567,0.595,1023,773,12,3,53,0.679
3.4,11.899,5.078,-4.787,11.001,0.758,0.045,1.29,3.401,1.364,10.998,0.56,0.592,1023,775,11,48,42,0.674
3.5,17.758,7.409,-2.933,11.001,0.788,0.045,1.28,3.502,1.363,10.986,0.549,0.585,1023,785,11,40,37,0.665
