iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,40.861,32.821,31.584,11.002,0.082,0.049,1.57,0.002,1.323,11.063,0.009,0.007,1023,785,17,44,9,0.009
0.1,40.861,32.704,32.203,11.002,0.097,0.049,1.56,0.102,1.325,11.068,0.301,0.254,1023,772,17,37,59,0.302
0.2,40.732,32.706,32.608,11.002,0.112,0.049,1.55,0.201,1.329,11.053,0.451,0.385,1023,763,17,28,55,0.456
0.3,40.475,32.535,41.322,11.002,0.126,0.048,1.54,0.301,1.331,11.048,0.539,0.464,1023,760,17,15,55,0.548
0.4,40.991,32.702,30.304,11.002,0.145,0.05,1.53,0.401,1.309,11.049,0.59,0.503,1023,802,11,45,16,0.602
0.5,40.861,32.704,30.56,11.002,0.161,0.049,1.52,0.501,1.32,11.051,0.619,0.535,1023,786,11,17,23,0.634
0.6,40.732,32.941,31.729,11.002,0.179,0.049,1.51,0.601,1.331,11.038,0.635,0.558,1023,755,10,48,46,0.655
0.7,40.732,32.823,30.214,11.002,0.198,0.049,1.5,0.701,1.326,11.029,0.642,0.566,1023,765,10,49,58,0.665
0.8,40.732,33.059,30.214,11.001,0.215,0.049,1.49,0.8,1.324,11.029,0.65,0.576,1023,766,10,53,0,0.677
0.9,40.732,33.294,30.858,11.002,0.233,0.049,1.48,0.9,1.324,11.029,0.656,0.586,1023,770,10,56,3,0.687
1,40.732,33.412,30.858,11.001,0.251,0.049,1.47,1.001,1.324,11.029,0.662,0.594,1023,771,10,59,5,0.697
1.1,40.732,33.529,30.214,11.002,0.269,0.049,1.46,1.1,1.322,11.029,0.663,0.598,1023,771,11,2,7,0.701
1.2,40.732,33.882,30.214,11.002,0.287,0.049,1.46,1.201,1.324,11.029,0.668,0.604,1023,773,11,5,10,0.711
1.3,40.732,34.118,30.858,11.001,0.306,0.049,1.45,1.302,1.322,11.029,0.667,0.606,1023,777,11,8,12,0.713
1.4,40.732,34.706,31.501,11.002,0.325,0.049,1.44,1.401,1.322,11.029,0.663,0.607,1023,780,11,11,15,0.713
1.5,40.732,34.823,30.858,11.002,0.345,0.049,1.43,1.501,1.322,11.029,0.659,0.608,1023,782,11,14,17,0.713
1.6,40.732,35.059,30.858,11.001,0.364,0.049,1.42,1.601,1.322,11.029,0.655,0.608,1023,785,11,17,19,0.712
1.7,40.732,35.529,30.858,11.002,0.385,0.049,1.41,1.701,1.32,11.029,0.648,0.606,1023,788,11,20,22,0.709
1.8,40.732,36,30.858,11.001,0.406,0.049,1.4,1.801,1.32,11.029,0.642,0.604,1023,793,11,23,24,0.706
1.9,40.732,36.47,31.501,11.002,0.427,0.049,1.39,1.901,1.32,11.029,0.634,0.601,1023,796,11,26,26,0.701
2,40.732,37.176,32.144,11.002,0.45,0.049,1.38,2.002,1.318,11.029,0.626,0.596,1023,802,11,29,29,0.696
2.1,40.347,33.437,28.614,11.002,0.464,0.047,1.38,2.101,1.335,11.016,0.632,0.611,1023,769,9,59,50,0.707
2.2,40.475,33.859,28.269,11.002,0.486,0.047,1.37,2.201,1.336,11.029,0.625,0.608,1023,773,9,53,31,0.703
2.3,40.475,33.686,28.79,11.001,0.509,0.047,1.36,2.301,1.334,10.996,0.616,0.605,1023,778,9,44,13,0.697
2.4,40.347,33.22,27.274,11.001,0.531,0.047,1.35,2.401,1.335,11.019,0.609,0.601,1023,778,9,23,18,0.693
2.5,40.347,34.041,27.782,11,0.555,0.047,1.35,2.501,1.333,11.011,0.604,0.596,1023,801,9,15,57,0.691
2.6,40.475,36.227,26.377,11.001,0.578,0.048,1.34,2.601,1.336,11.014,0.597,0.595,1023,785,16,23,35,0.687
2.7,40.347,32.911,28.198,11.002,0.603,0.047,1.33,2.701,1.331,10.981,0.587,0.588,1023,809,10,23,41,0.679
2.8,40.347,33.735,28.825,11.001,0.629,0.047,1.32,2.802,1.329,10.981,0.577,0.582,1023,817,10,26,44,0.672
2.9,40.347,34.558,29.451,11.001,0.655,0.047,1.31,2.902,1.329,10.981,0.568,0.577,1023,824,10,29,46,0.665
3,40.347,35.5,30.078,11.002,0.682,0.047,1.3,3.001,1.327,10.981,0.558,0.571,1023,831,10,32,49,0.658
3.1,40.347,36.441,30.078,11.002,0.71,0.047,1.29,3.102,1.327,10.981,0.549,0.566,1023,838,10,35,51,0.651
3.2,40.219,36.394,29.803,11.002,0.739,0.047,1.28,3.201,1.325,10.968,0.538,0.559,1023,851,17,4,3,0.642
3.3,40.219,32.913,24.098,11.002,0.759,0.047,1.28,3.301,1.331,10.985,0.539,0.561,1023,837,12,52,40,0.647
3.4,40.219,33.449,24.039,11.002,0.787,0.047,1.27,3.401,1.332,10.973,0.53,0.557,1023,843,12,47,2,0.64
3.5,40.219,34.049,24.336,11.002,0.817,0.047,1.26,3.502,1.328,10.961,0.521,0.551,1023,852,12,42,33,0.633
