iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,13.597,9.691,7.679,11.002,0.079,0.046,1.56,0.001,1.373,11.042,0.004,0.004,562,689,11,12,55,0.004
0.1,13.689,9.656,8.357,11.002,0.094,0.047,1.56,0.101,1.373,11.041,0.301,0.264,563,689,11,9,11,0.303
0.2,13.414,9.268,7.522,11.001,0.109,0.046,1.55,0.201,1.371,11.025,0.453,0.4,560,689,11,5,40,0.458
0.3,13.191,7.706,7.367,11.002,0.124,0.046,1.54,0.301,1.372,11.032,0.541,0.48,584,688,11,2,30,0.549
0.4,12.165,7.773,5.414,11.001,0.14,0.047,1.53,0.401,1.376,11.049,0.598,0.535,571,686,10,51,30,0.61
0.5,12.683,7.79,5.61,11.002,0.158,0.046,1.52,0.5,1.373,11.041,0.619,0.557,579,689,10,46,28,0.634
0.6,13.607,8.228,5.371,11.001,0.176,0.046,1.52,0.601,1.371,11.026,0.641,0.577,589,691,10,42,4,0.66
0.7,14.421,8.496,5.861,11.001,0.194,0.046,1.51,0.7,1.37,11.018,0.65,0.589,599,694,10,38,50,0.673
0.8,15.283,8.68,6.055,11.002,0.212,0.046,1.5,0.8,1.372,11.047,0.658,0.6,583,696,10,33,17,0.686
0.9,15.598,8.849,6.213,11.002,0.229,0.046,1.49,0.9,1.371,11.028,0.667,0.612,614,698,10,14,39,0.698
1,16.281,9.202,6.358,11.002,0.247,0.046,1.48,1.001,1.369,11.023,0.672,0.62,623,700,10,10,49,0.707
1.1,17.093,9.856,6.222,11.001,0.264,0.047,1.47,1.101,1.371,11.027,0.679,0.632,633,703,10,7,27,0.718
1.2,17.812,9.79,6.547,11.002,0.282,0.046,1.47,1.2,1.371,11.025,0.68,0.633,643,705,10,3,9,0.723
1.3,18.582,10.143,6.229,11.001,0.3,0.046,1.46,1.301,1.369,11.026,0.681,0.637,656,708,9,58,55,0.728
1.4,19.197,10.379,6.867,11.002,0.318,0.046,1.45,1.4,1.367,11.013,0.679,0.64,662,710,9,55,33,0.73
1.5,20.325,10.647,6.427,11.002,0.337,0.046,1.44,1.501,1.365,11.005,0.677,0.641,681,712,9,51,55,0.731
1.6,21.285,11.118,6.793,11.002,0.355,0.046,1.43,1.601,1.366,11.029,0.673,0.642,694,715,9,47,35,0.732
1.7,22.018,11.12,7.011,11.001,0.374,0.046,1.42,1.701,1.365,11.008,0.669,0.643,711,719,9,41,37,0.731
1.8,22.938,11.427,7,11.002,0.394,0.046,1.42,1.801,1.365,11.008,0.669,0.643,724,721,9,37,24,0.735
1.9,23.445,10.181,7.394,11.001,0.413,0.046,1.41,1.901,1.363,10.994,0.664,0.642,823,724,9,33,7,0.733
2,21.767,9.012,4.334,11.002,0.432,0.046,1.4,2.001,1.367,11.006,0.659,0.643,790,721,9,26,14,0.732
2.1,23.204,9.849,5.307,11.001,0.453,0.046,1.39,2.101,1.364,11.002,0.652,0.64,819,725,16,42,19,0.729
2.2,23.541,9.658,5.945,11,0.474,0.046,1.38,2.201,1.363,11.017,0.645,0.636,825,726,16,37,14,0.725
2.3,23.975,8.829,4.531,11.002,0.495,0.046,1.38,2.3,1.364,11,0.643,0.636,910,730,16,33,20,0.726
2.4,23.279,7.587,2.523,11.001,0.516,0.046,1.37,2.401,1.367,11.005,0.636,0.634,896,729,16,29,18,0.723
2.5,24.463,8.235,2.615,11.002,0.538,0.046,1.36,2.501,1.366,11.015,0.629,0.631,924,734,16,18,53,0.718
2.6,26.568,9.209,3.362,11.001,0.561,0.046,1.35,2.601,1.364,11.011,0.619,0.625,980,740,16,14,39,0.712
2.7,28.258,10.817,4.489,11.001,0.585,0.046,1.34,2.701,1.362,10.987,0.611,0.622,1023,747,16,10,50,0.706
2.8,28.258,12.358,7.022,11.001,0.611,0.046,1.33,2.801,1.356,10.984,0.599,0.612,1023,760,15,56,15,0.697
2.9,28.145,8,0.837,11.001,0.631,0.046,1.33,2.901,1.363,10.976,0.599,0.616,1023,751,15,45,59,0.701
3,28.145,8.565,1.394,11.002,0.656,0.046,1.32,3.001,1.361,10.978,0.59,0.61,1023,757,15,42,6,0.694
3.1,28.145,9.363,1.073,11.002,0.683,0.046,1.31,3.102,1.361,10.989,0.58,0.603,1023,764,15,36,50,0.686
3.2,17.758,8.752,1.634,11.002,0.708,0.046,1.3,3.201,1.359,10.983,0.571,0.597,1023,771,15,31,25,0.68
3.3,17.758,8.122,-0.748,11.002,0.733,0.046,1.3,3.301,1.358,10.98,0.568,0.594,1023,771,15,22,51,0.68
3.4,17.758,8.86,-0.682,11.002,0.76,0.046,1.29,3.401,1.358,10.976,0.558,0.589,1023,778,15,18,54,0.672
3.5,17.862,11.398,0.922,11.001,0.79,0.046,1.28,3.501,1.357,10.973,0.547,0.581,1023,790,15,15,32,0.663
