iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,-5.718,-9.831,-12.694,11,0.079,0.045,1.56,0.001,1.393,11.061,0.004,0.004,617,642,14,58,12,0.004
0.1,-5.978,-9.886,-12.703,11.001,0.093,0.045,1.56,0.101,1.395,11.048,0.299,0.267,610,642,14,54,42,0.301
0.2,-6.24,-10.066,-11.997,11.002,0.108,0.045,1.55,0.201,1.393,11.06,0.452,0.404,603,641,14,51,34,0.456
0.3,-6.24,-10.5,-12.689,11.001,0.123,0.045,1.54,0.301,1.393,11.049,0.54,0.487,605,641,14,47,49,0.548
0.4,-5.461,-10.405,-13.336,11.001,0.14,0.045,1.53,0.4,1.393,11.048,0.589,0.534,616,644,14,45,9,0.601
0.5,-4.957,-10.434,-12.535,11.001,0.157,0.045,1.53,0.5,1.393,11.058,0.622,0.563,623,646,14,42,4,0.637
0.6,-6.364,-12.304,-14.556,11.001,0.175,0.045,1.52,0.601,1.395,11.063,0.639,0.584,607,643,14,32,16,0.659
0.7,-5.392,-11.624,-14.112,11.001,0.193,0.045,1.51,0.7,1.393,11.047,0.65,0.597,625,646,14,28,52,0.673
0.8,-4.461,-11.598,-14.144,11.001,0.211,0.045,1.51,0.8,1.392,11.048,0.664,0.61,633,649,14,25,12,0.692
0.9,-4.461,-11.298,-14.361,11.001,0.228,0.045,1.5,0.9,1.393,11.043,0.673,0.623,640,649,14,20,30,0.705
1,-3.335,-10.8,-14.421,11.001,0.245,0.045,1.49,1.001,1.393,11.043,0.679,0.632,652,653,14,17,54,0.714
1.1,-3.277,-10.918,-14.234,11,0.262,0.045,1.48,1.101,1.392,11.037,0.683,0.64,660,653,14,14,23,0.723
1.2,-1.878,-10.54,-13.168,11.001,0.28,0.045,1.47,1.2,1.391,11.044,0.684,0.645,678,658,14,11,40,0.728
1.3,-1.342,-10.094,-14.005,11.001,0.297,0.045,1.46,1.301,1.387,11.03,0.685,0.649,695,659,14,6,14,0.732
1.4,-0.355,-9.834,-13.222,11.001,0.315,0.045,1.46,1.4,1.387,11.046,0.688,0.651,706,662,14,2,15,0.739
1.5,0.148,-9.716,-13.28,11.001,0.333,0.045,1.45,1.501,1.385,11.012,0.687,0.655,719,664,13,58,5,0.742
1.6,1.36,-9.153,-13.231,11.001,0.352,0.045,1.44,1.6,1.388,11.046,0.684,0.656,741,667,13,52,51,0.743
1.7,1.966,-9.105,-13.365,11.001,0.37,0.045,1.43,1.7,1.385,11.029,0.68,0.657,762,670,13,48,56,0.743
1.8,-0.62,-12.431,-17.509,11.001,0.388,0.045,1.43,1.8,1.388,11.035,0.682,0.66,709,664,17,48,2,0.749
1.9,-0.113,-12.455,-17.541,11.002,0.408,0.045,1.42,1.901,1.386,11.036,0.677,0.659,715,666,17,36,28,0.748
2,1.72,-11.607,-16.935,11.001,0.427,0.045,1.41,2.001,1.386,11.037,0.672,0.658,758,672,17,31,38,0.746
2.1,2.897,-11.137,-15.924,11.001,0.447,0.045,1.41,2.101,1.388,11.032,0.671,0.658,784,675,17,27,29,0.748
2.2,4.23,-10.666,-16.384,11.001,0.467,0.045,1.4,2.201,1.385,11.025,0.664,0.656,816,680,17,22,51,0.745
2.3,5.653,-10.337,-16.647,11.001,0.487,0.045,1.39,2.3,1.384,11.048,0.657,0.652,847,684,17,18,52,0.742
2.4,6.886,-9.607,-15.263,11.001,0.508,0.045,1.38,2.401,1.384,11.03,0.651,0.651,876,689,17,14,45,0.738
2.5,8.025,-8.881,-15.066,11.001,0.529,0.045,1.37,2.501,1.384,11.046,0.643,0.647,915,693,17,10,37,0.734
2.6,10.029,-8.313,-14.581,11.001,0.552,0.045,1.37,2.601,1.382,11.028,0.64,0.644,973,699,17,4,7,0.734
2.7,9.582,-12.49,-16.776,11.001,0.572,0.045,1.36,2.701,1.379,11.015,0.634,0.641,533,703,10,41,43,0.731
2.8,-2.458,-12.37,-20.192,11.001,0.592,0.045,1.35,2.801,1.383,11.008,0.628,0.643,1023,691,10,18,26,0.729
2.9,-2.458,-9.373,-17.755,11.001,0.618,0.045,1.34,2.901,1.382,11.017,0.617,0.636,1023,704,10,12,51,0.721
3,-2.544,-12.272,-20.676,11,0.639,0.044,1.34,3.001,1.381,11.036,0.615,0.632,1023,709,15,28,22,0.722
3.1,-2.544,-10.966,-19.411,11.002,0.664,0.044,1.33,3.101,1.379,11.001,0.605,0.627,1023,718,15,24,17,0.714
3.2,-2.458,-9.62,-18.763,11.001,0.689,0.044,1.32,3.201,1.38,11.021,0.596,0.621,1023,724,15,19,10,0.708
3.3,-2.631,-12.206,-18.062,11.001,0.717,0.044,1.31,3.301,1.377,11.017,0.584,0.613,1023,737,14,44,6,0.698
3.4,-2.544,-11.862,-21.113,11.001,0.736,0.044,1.32,3.401,1.379,11.032,0.59,0.615,1023,723,17,1,49,0.708
3.5,-2.544,-10.568,-20.501,11.001,0.764,0.044,1.31,3.502,1.379,11.032,0.58,0.609,1023,733,17,4,51,0.7
