iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,35.569,26.351,14.097,11.001,0.082,0.049,1.56,0.002,1.338,10.986,0.009,0.007,901,726,15,20,43,0.009
0.1,27.867,25.012,21.978,11.001,0.095,0.047,1.56,0.102,1.353,11.054,0.302,0.26,757,711,15,41,22,0.303
0.2,25.994,22.94,20.136,11.002,0.109,0.047,1.55,0.201,1.358,11.033,0.453,0.396,726,719,15,46,10,0.457
0.3,26.591,22.558,21.306,11.001,0.125,0.047,1.54,0.301,1.357,11.038,0.539,0.474,737,720,9,10,45,0.548
0.4,27.119,22.676,21.306,11.001,0.141,0.047,1.53,0.402,1.357,11.024,0.593,0.525,745,722,9,13,47,0.605
0.5,27.753,23.029,21.306,11.001,0.158,0.047,1.52,0.501,1.357,11.038,0.62,0.551,755,725,9,16,49,0.635
0.6,28.597,23.264,21.306,11.001,0.177,0.047,1.52,0.601,1.355,11.038,0.64,0.568,769,727,9,19,52,0.659
0.7,29.366,23.617,21.933,11.002,0.195,0.047,1.51,0.701,1.355,11.024,0.648,0.581,785,730,9,22,54,0.672
0.8,30.064,23.852,21.933,11.001,0.213,0.047,1.5,0.8,1.355,11.024,0.657,0.592,799,732,9,25,56,0.684
0.9,30.748,24.205,21.933,11.001,0.23,0.047,1.49,0.9,1.353,11.024,0.665,0.602,811,734,9,28,59,0.696
1,31.418,24.323,21.933,11.001,0.248,0.047,1.48,1.001,1.353,11.024,0.67,0.611,825,737,9,32,1,0.705
1.1,32.125,24.676,22.56,11.001,0.265,0.047,1.47,1.1,1.351,11.024,0.672,0.617,837,739,9,35,4,0.711
1.2,32.867,24.911,22.56,11.001,0.284,0.047,1.46,1.201,1.344,11.024,0.673,0.618,854,741,9,38,6,0.716
1.3,33.689,25.382,23.186,11.002,0.302,0.047,1.45,1.302,1.351,11.01,0.673,0.627,872,744,9,41,8,0.72
1.4,34.585,25.735,23.186,11.001,0.32,0.047,1.45,1.401,1.344,11.01,0.675,0.625,889,747,9,44,11,0.726
1.5,35.595,25.97,23.813,11.001,0.339,0.047,1.44,1.501,1.344,11.024,0.672,0.626,909,750,9,47,13,0.726
1.6,36.49,26.088,23.813,11.001,0.358,0.047,1.43,1.601,1.34,11.01,0.668,0.625,932,752,9,50,15,0.726
1.7,37.535,26.676,23.813,11.002,0.378,0.047,1.42,1.701,1.34,11.024,0.663,0.624,956,756,9,53,18,0.724
1.8,38.635,27.147,24.439,11.001,0.398,0.047,1.41,1.801,1.34,11.01,0.657,0.624,982,760,9,56,20,0.722
1.9,37.148,26.276,21.656,11.001,0.418,0.047,1.4,1.901,1.345,11.02,0.652,0.625,949,757,15,52,6,0.721
2,36.317,25.73,20.116,11.002,0.438,0.047,1.39,2.002,1.353,11.021,0.647,0.628,929,756,15,58,52,0.719
2.1,36.493,24.474,19.051,11.001,0.459,0.047,1.39,2.101,1.352,11.015,0.644,0.626,934,757,16,5,0,0.72
2.2,37.407,24.186,18.685,11.001,0.48,0.047,1.38,2.201,1.349,11.004,0.637,0.623,955,761,16,10,39,0.716
2.3,38.548,24.55,18.457,11,0.502,0.047,1.37,2.301,1.35,11.012,0.629,0.619,985,765,16,22,48,0.711
2.4,40.179,24.634,19.401,11.002,0.525,0.047,1.36,2.401,1.341,11,0.62,0.611,1023,771,16,33,45,0.705
2.5,40.092,25.443,19.966,11.001,0.549,0.047,1.35,2.501,1.339,10.989,0.611,0.607,1023,778,16,46,7,0.699
2.6,40.219,26.438,20.526,11.001,0.574,0.047,1.34,2.602,1.338,10.999,0.602,0.601,1023,769,16,56,38,0.692
2.7,40.219,26.78,17.911,11.001,0.596,0.047,1.34,2.701,1.342,11.011,0.6,0.6,1023,783,17,20,50,0.693
2.8,40.092,24.986,17.905,11.001,0.62,0.046,1.33,2.801,1.339,10.987,0.59,0.595,1023,788,17,33,5,0.686
2.9,40.092,25.99,18.159,11.001,0.646,0.046,1.32,2.902,1.339,11,0.581,0.589,1023,795,9,23,15,0.68
3,40.092,26.499,18.535,11.002,0.672,0.047,1.31,3.001,1.34,11.009,0.571,0.584,1023,801,9,28,16,0.673
3.1,40.092,27.122,19.044,11.002,0.699,0.047,1.3,3.102,1.336,10.977,0.562,0.579,1023,808,9,34,17,0.666
3.2,40.092,25.938,16.546,11.001,0.723,0.047,1.29,3.202,1.34,10.991,0.555,0.577,1023,809,9,43,6,0.661
3.3,39.965,24.432,15.597,11.001,0.75,0.046,1.29,3.301,1.336,10.956,0.55,0.572,1023,815,9,54,26,0.659
3.4,39.965,25.974,16.282,11.002,0.779,0.046,1.28,3.401,1.338,10.978,0.54,0.566,1023,823,10,3,20,0.652
3.5,39.965,26.474,16.35,11.002,0.808,0.046,1.27,3.502,1.336,10.974,0.53,0.559,1023,832,10,7,41,0.644
