iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,18.6,15.187,13.128,11.002,0.08,0.046,1.56,0.001,1.367,11.043,0.004,0.004,619,701,14,52,28,0.004
0.1,18.981,15.31,13.22,11.001,0.094,0.046,1.56,0.101,1.367,11.04,0.299,0.261,626,701,14,49,41,0.3
0.2,18.677,15.119,13.138,11.002,0.109,0.046,1.55,0.201,1.367,11.042,0.452,0.397,622,701,14,46,15,0.456
0.3,18.523,14.751,13.208,11.002,0.124,0.046,1.54,0.301,1.367,11.042,0.541,0.479,621,701,14,43,10,0.549
0.4,18.981,14.861,12.643,11.002,0.141,0.046,1.53,0.4,1.367,11.023,0.59,0.526,625,702,14,40,31,0.602
0.5,19.431,15.277,12.574,11.002,0.158,0.046,1.52,0.5,1.365,11.041,0.618,0.553,634,705,14,35,30,0.634
0.6,20.094,15.582,13.727,11.002,0.176,0.046,1.51,0.601,1.367,11.022,0.636,0.574,641,707,14,32,24,0.655
0.7,21.167,15.666,13.056,11.002,0.195,0.046,1.51,0.701,1.364,11.045,0.649,0.584,656,709,14,29,22,0.672
0.8,21.447,15.656,13.36,11.002,0.212,0.046,1.5,0.8,1.365,11.021,0.657,0.596,661,712,14,22,8,0.684
0.9,21.585,15.656,13.136,11.002,0.23,0.047,1.49,0.9,1.366,11.029,0.666,0.609,661,711,14,18,18,0.697
1,22.337,15.999,12.203,11.002,0.247,0.046,1.48,1.001,1.362,11.015,0.67,0.616,674,715,14,14,55,0.706
1.1,22.806,16.04,13.016,11.002,0.265,0.046,1.47,1.101,1.366,11.033,0.674,0.624,680,717,14,11,3,0.713
1.2,23.333,15.686,12.888,11.001,0.282,0.046,1.46,1.201,1.362,11.014,0.676,0.63,688,717,14,7,26,0.719
1.3,23.398,15.213,12.427,11.002,0.3,0.046,1.45,1.301,1.363,11.01,0.675,0.634,687,719,14,2,50,0.722
1.4,21.304,12.927,9.519,11.001,0.318,0.046,1.45,1.4,1.366,11.029,0.678,0.637,660,714,13,54,17,0.729
1.5,21.992,13.354,9.569,11.002,0.337,0.046,1.44,1.501,1.363,11.012,0.676,0.64,671,716,13,51,0,0.731
1.6,22.798,13.75,9.376,11.001,0.355,0.046,1.43,1.6,1.366,11.034,0.673,0.641,680,719,13,43,28,0.731
1.7,23.583,14.135,10.515,11.001,0.375,0.046,1.42,1.701,1.361,11.025,0.669,0.64,695,722,13,37,40,0.731
1.8,24.91,14.413,9.311,11.001,0.394,0.046,1.42,1.801,1.363,11.021,0.668,0.64,715,726,13,31,1,0.734
1.9,26.064,14.989,10.253,11.002,0.414,0.046,1.41,1.901,1.359,10.995,0.663,0.639,731,729,13,26,40,0.732
2,27.176,15.754,11.228,11.001,0.434,0.046,1.4,2.002,1.359,11.021,0.656,0.636,754,733,13,21,57,0.729
2.1,28.362,16.179,11.31,11.001,0.455,0.046,1.39,2.101,1.359,11.018,0.65,0.634,773,736,13,17,33,0.726
2.2,29.507,16.103,11.125,11.002,0.476,0.046,1.38,2.201,1.358,11.01,0.642,0.631,795,742,13,6,52,0.721
2.3,30.509,16.466,11.288,11.001,0.498,0.046,1.37,2.3,1.357,11.004,0.634,0.628,814,745,13,1,20,0.717
2.4,31.633,16.56,11.979,11.001,0.52,0.046,1.36,2.401,1.359,11.004,0.626,0.625,837,750,12,57,23,0.712
2.5,28.849,12.854,7.046,11.001,0.54,0.046,1.36,2.501,1.359,11.005,0.626,0.625,945,744,12,45,58,0.715
2.6,30.429,13.66,7.302,11.002,0.564,0.046,1.35,2.601,1.361,11.005,0.617,0.621,983,749,12,41,2,0.709
2.7,31.823,13.964,8.192,11.001,0.587,0.046,1.34,2.701,1.358,10.996,0.608,0.616,1023,755,12,36,12,0.703
2.8,31.823,14.299,8.183,11.001,0.612,0.046,1.33,2.801,1.358,10.996,0.599,0.612,1023,760,12,30,56,0.697
2.9,28.258,12.852,7.582,11.001,0.636,0.046,1.33,2.901,1.353,10.972,0.594,0.606,1023,765,12,26,21,0.694
3,31.823,13.455,6.158,11.002,0.659,0.046,1.32,3.001,1.358,10.98,0.587,0.605,1023,765,12,14,38,0.69
3.1,28.258,14.072,6.686,11.001,0.686,0.046,1.31,3.101,1.354,10.983,0.577,0.598,1023,772,12,6,18,0.683
3.2,28.258,14.829,7.505,11.001,0.713,0.046,1.3,3.201,1.352,10.976,0.567,0.591,1023,781,12,0,57,0.675
3.3,28.258,15.94,8.022,11,0.74,0.046,1.29,3.301,1.352,10.966,0.558,0.587,1023,788,11,51,41,0.669
3.4,28.258,16.252,7.399,11.002,0.767,0.046,1.28,3.401,1.35,10.978,0.549,0.58,1023,794,11,43,38,0.662
3.5,39.712,13.833,9.1,11,0.796,0.047,1.27,3.502,1.344,10.927,0.539,0.574,1023,804,11,39,15,0.655
